period,avg_psi,pct_red,mode
2024-11,0.07350637777781749,0.0,time_split_70_30
2024-12,0.03148336783538759,0.0,time_split_70_30
2025-01,0.02859044003124876,0.0,time_split_70_30
2025-02,0.013449091822562759,0.0,time_split_70_30
2025-03,0.017887348950977603,0.0,time_split_70_30
2025-04,0.03076236500123907,0.0,time_split_70_30
2025-05,0.052392690980735956,0.10526315789473684,time_split_70_30
2025-06,0.07089724123380725,0.15789473684210525,time_split_70_30
2025-07,0.06978640852199064,0.10526315789473684,time_split_70_30
2025-08,0.09107477096704077,0.10526315789473684,time_split_70_30
2025-09,0.08442743565265871,0.15789473684210525,time_split_70_30
2025-10,0.1115626517988115,0.10526315789473684,time_split_70_30
2025-11,0.125423144059354,0.10526315789473684,time_split_70_30
2025-12,0.13454926676690424,0.21052631578947367,time_split_70_30
2026-01,0.3178780839996753,0.2631578947368421,time_split_70_30
2026-02,0.35754361783814437,0.3684210526315789,time_split_70_30
2026-03,0.6756369080959118,0.631578947368421,time_split_70_30
2026-04,4.706810279545202,0.8421052631578947,time_split_70_30
